Date,Elevation (m),Soil Type,Slope Gradient (%),Temperature (°C),Rainfall (mm),Humidity (%),Forest Cover (%),Species Count,Endangered Species (Count),Groundwater Level (m),Surface Water Quality Index,Water Demand (MLD),Urban Area (%),Agricultural Land (%),Industrial Area (%),Flood Risk Level,Earthquake Intensity (Richter),Disaster Preparedness Index,AQI,Water Pollution Index,Waste Generation (tons/day),Population,Employment Rate (%),Policy Initiatives
1/1/2024,256.54,Alluvial,4.43,35.8,2,81.4,Forest Cover (%),188,5,23.24,89.9,119.6,44.1,33.9,16.3,High,3.4,0.55,213,61.3,357.8,127542,78.5,No
1/2/2024,251.76,Loamy,2.8,10.6,0,88.1,Forest Cover (%),177,5,21.4,80.5,94.6,40.6,32.2,17.5,Medium,3.2,0.76,234,50.2,370.8,125808,66.3,Yes
1/3/2024,259.52,Loamy,3.89,20,1,66.1,Forest Cover (%),152,3,20.01,85.7,102,41.2,34.8,19.4,Medium,4,0.7,160,65.2,359.9,124349,84.7,Yes
1/4/2024,251.43,Alluvial,4.53,32.1,0,59.9,Forest Cover (%),171,4,23.63,65.8,117,43.4,34.7,18.7,High,3.2,0.7,200,54.8,344.8,127098,75.9,Yes
1/5/2024,251.43,Alluvial,4.09,29.4,50,65.8,Forest Cover (%),154,4,16.62,75.7,104,44.1,34.7,19.9,Low,3.3,0.67,153,52.3,385.3,124494,68.6,No
1/6/2024,252.21,Sandy,3.31,32.6,5,87.1,Forest Cover (%),169,3,24.61,85.9,91.3,40.8,34.7,17.8,Medium,3.4,0.54,221,75.7,305.8,124287,67.1,Yes
1/7/2024,255.85,Alluvial,4.69,13.1,10,56.8,Forest Cover (%),174,3,23.83,68,81,42.2,31.3,17.2,Low,3.8,0.69,186,57.3,383.2,128300,78.2,No
1/8/2024,250.41,Alluvial,3.53,39.8,10,47.2,Forest Cover (%),155,3,24.93,81.2,116.6,41.8,30,18.7,High,4.6,0.65,119,63.9,379.5,122846,73.4,Yes
1/9/2024,255.57,Sandy,3.27,15.9,10,49.8,Forest Cover (%),156,3,19.8,73.8,102.9,41,31.3,18.6,Medium,3.9,0.51,155,55.2,390.6,128867,72.9,Yes
1/10/2024,255.73,Sandy,3.47,28.7,5,30.6,Forest Cover (%),198,3,24.19,71.7,80.5,40.7,30.6,19.2,Medium,3.8,0.57,235,71.2,316.3,122583,75.4,Yes
